Marca;Modelo;Version;year;avg;currency
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA 4X4;2025;138432;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA 4X4;2021;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA 4X4;2020;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA 4X4;2019;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA 4X4;2018;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA 4X4;2017;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA 4X4;2016;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA 4X4;2015;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA 4X4;2014;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA AT 4X4;2026;141,194;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA AT 4X4;2025;155313;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA AT 4X4;2021;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA AT 4X4;2020;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA AT 4X4;2019;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA AT 4X4;2018;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA AT 4X4;2017;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA AT 4X4;2016;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA AT 4X4;2015;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA AT 4X4;2014;;USD
ALFA ROMEO;159;4P 1,8 TBI 200CV DISTINCTIVE;2021;;USD
ALFA ROMEO;159;4P 1,8 TBI 200CV DISTINCTIVE;2020;;USD
ALFA ROMEO;159;4P 1,8 TBI 200CV DISTINCTIVE;2019;;USD
ALFA ROMEO;159;4P 1,8 TBI 200CV DISTINCTIVE;2018;;USD
ALFA ROMEO;159;4P 1,8 TBI 200CV DISTINCTIVE;2017;;USD
ALFA ROMEO;159;4P 1,8 TBI 200CV DISTINCTIVE;2016;;USD
ALFA ROMEO;159;4P 1,8 TBI 200CV DISTINCTIVE;2015;;USD
ALFA ROMEO;159;4P 1,8 TBI 200CV DISTINCTIVE;2014;;USD
ALFA ROMEO;159;4P 1,8 TBI 200CV DISTINCTIVE;2013;23823;USD
ALFA ROMEO;159;4P 1,8 TBI 200CV DISTINCTIVE;2012;23276;USD
ALFA ROMEO;159;4P 2,2 JTS 185CV S-SPEED CRO;2021;;USD
ALFA ROMEO;159;4P 2,2 JTS 185CV S-SPEED CRO;2020;;USD
ALFA ROMEO;159;4P 2,2 JTS 185CV S-SPEED CRO;2019;;USD
ALFA ROMEO;159;4P 2,2 JTS 185CV S-SPEED CRO;2018;;USD
ALFA ROMEO;159;4P 2,2 JTS 185CV S-SPEED CRO;2017;;USD
ALFA ROMEO;159;4P 2,2 JTS 185CV S-SPEED CRO;2016;;USD
ALFA ROMEO;159;4P 2,2 JTS 185CV S-SPEED CRO;2015;;USD
ALFA ROMEO;159;4P 2,2 JTS 185CV S-SPEED CRO;2014;;USD
ALFA ROMEO;159;4P 2,2 JTS 185CV S-SPEED CRO;2012;21758;USD
ALFA ROMEO;159;4P 2,2 JTS 189CV S-SPEED DISTINCTIVE;2021;;USD
ALFA ROMEO;159;4P 2,2 JTS 189CV S-SPEED DISTINCTIVE;2020;;USD
ALFA ROMEO;159;4P 2,2 JTS 189CV S-SPEED DISTINCTIVE;2019;;USD
ALFA ROMEO;159;4P 2,2 JTS 189CV S-SPEED DISTINCTIVE;2018;;USD
ALFA ROMEO;159;4P 2,2 JTS 189CV S-SPEED DISTINCTIVE;2017;;USD
ALFA ROMEO;159;4P 2,2 JTS 189CV S-SPEED DISTINCTIVE;2016;;USD
ALFA ROMEO;159;4P 2,2 JTS 189CV S-SPEED DISTINCTIVE;2015;;USD
ALFA ROMEO;159;4P 2,2 JTS 189CV S-SPEED DISTINCTIVE;2014;24104;USD
ALFA ROMEO;159;4P 2,2 JTS 189CV S-SPEED DISTINCTIVE;2013;23326;USD
ALFA ROMEO;159;4P 2,2 JTS 189CV S-SPEED DISTINCTIVE;2012;22770;USD
ALFA ROMEO;159;4P 3,2 JTS HIGHT 4X4 CA ELEGANCE;2021;;USD
ALFA ROMEO;159;4P 3,2 JTS HIGHT 4X4 CA ELEGANCE;2020;;USD
ALFA ROMEO;159;4P 3,2 JTS HIGHT 4X4 CA ELEGANCE;2019;;USD
ALFA ROMEO;159;4P 3,2 JTS HIGHT 4X4 CA ELEGANCE;2018;;USD
ALFA ROMEO;159;4P 3,2 JTS HIGHT 4X4 CA ELEGANCE;2017;;USD
ALFA ROMEO;159;4P 3,2 JTS HIGHT 4X4 CA ELEGANCE;2016;;USD
ALFA ROMEO;159;4P 3,2 JTS HIGHT 4X4 CA ELEGANCE;2015;;USD
ALFA ROMEO;159;4P 3,2 JTS HIGHT 4X4 CA ELEGANCE;2014;25398;USD
ALFA ROMEO;159;4P 3,2 JTS HIGHT 4X4 CA ELEGANCE;2013;24579;USD
ALFA ROMEO;159;4P 3,2 JTS HIGHT 4X4 CA ELEGANCE;2012;23992;USD
ALFA ROMEO;BRERA;COUPE 2,2 JTS S-SPEED 6TA;2021;;USD
ALFA ROMEO;BRERA;COUPE 2,2 JTS S-SPEED 6TA;2020;;USD
ALFA ROMEO;BRERA;COUPE 2,2 JTS S-SPEED 6TA;2019;;USD
ALFA ROMEO;BRERA;COUPE 2,2 JTS S-SPEED 6TA;2018;;USD
ALFA ROMEO;BRERA;COUPE 2,2 JTS S-SPEED 6TA;2017;;USD
ALFA ROMEO;BRERA;COUPE 2,2 JTS S-SPEED 6TA;2016;;USD
ALFA ROMEO;BRERA;COUPE 2,2 JTS S-SPEED 6TA;2015;;USD
ALFA ROMEO;BRERA;COUPE 2,2 JTS S-SPEED 6TA;2014;;USD
ALFA ROMEO;BRERA;COUPE 2,2 JTS S-SPEED 6TA;2012;32831;USD
ALFA ROMEO;BRERA;COUPE 3,2 MD 4X4 CA;2021;;USD
ALFA ROMEO;BRERA;COUPE 3,2 MD 4X4 CA;2020;;USD
ALFA ROMEO;BRERA;COUPE 3,2 MD 4X4 CA;2019;;USD
ALFA ROMEO;BRERA;COUPE 3,2 MD 4X4 CA;2018;;USD
ALFA ROMEO;BRERA;COUPE 3,2 MD 4X4 CA;2017;;USD
ALFA ROMEO;BRERA;COUPE 3,2 MD 4X4 CA;2016;;USD
ALFA ROMEO;BRERA;COUPE 3,2 MD 4X4 CA;2015;;USD
ALFA ROMEO;BRERA;COUPE 3,2 MD 4X4 CA;2014;;USD
ALFA ROMEO;BRERA;COUPE 3,2 MD 4X4 CA;2012;38564;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT RDW 200CV DISTINCTIVE;2021;44922;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT RDW 200CV DISTINCTIVE;2020;42783;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT RDW 200CV DISTINCTIVE;2019;40644;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT RDW 200CV DISTINCTIVE;2018;38611;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT RDW 200CV DISTINCTIVE;2017;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT RDW 200CV DISTINCTIVE;2016;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT RDW 200CV DISTINCTIVE;2015;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT RDW 200CV DISTINCTIVE;2014;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT RDW 200CV DISTINCTIVE 2020;2023;58583;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT RDW 200CV DISTINCTIVE 2020;2022;54244;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT RDW 200CV DISTINCTIVE 2020;2021;51661;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT RDW 200CV DISTINCTIVE 2020;2020;49201;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT RDW 200CV DISTINCTIVE 2020;2019;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT RDW 200CV DISTINCTIVE 2020;2018;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT RDW 200CV DISTINCTIVE 2020;2017;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT RDW 200CV DISTINCTIVE 2020;2016;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT RDW 200CV DISTINCTIVE 2020;2015;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT RDW 200CV DISTINCTIVE 2020;2014;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE;2021;55052;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE;2020;52431;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE;2019;49809;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE;2018;47319;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE;2017;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE;2016;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE;2015;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE;2014;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE 2020;2026;79,8;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE 2020;2025;79990;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE 2020;2024;72662;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE 2020;2023;69201;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE 2020;2022;64075;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE 2020;2021;61024;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE 2020;2020;58118;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE 2020;2019;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE 2020;2018;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE 2020;2017;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE 2020;2016;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE 2020;2015;;USD
ALFA ROMEO;GIULIA;4P 2,0 T AT AWD 280CV VELOCE 2020;2014;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO;2021;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO;2020;119610;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO;2019;113630;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO;2018;105213;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO;2017;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO;2016;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO;2015;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO;2014;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO 2020;2024;202810;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO 2020;2023;192669;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO 2020;2022;178397;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO 2020;2021;169902;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO 2020;2020;161812;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO 2020;2019;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO 2020;2018;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO 2020;2017;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO 2020;2016;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO 2020;2015;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO 2020;2014;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT 8AT 520CV QV SUPER SPORT 2025;2026;242;USD
ALFA ROMEO;GIULIA;4P 2,9 BT 8AT 520CV QV SUPER SPORT 2025;2025;266200;USD
ALFA ROMEO;GIULIA;4P 2,9 BT 8AT 520CV QV SUPER SPORT 2025;2021;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT 8AT 520CV QV SUPER SPORT 2025;2020;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT 8AT 520CV QV SUPER SPORT 2025;2019;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT 8AT 520CV QV SUPER SPORT 2025;2018;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT 8AT 520CV QV SUPER SPORT 2025;2017;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT 8AT 520CV QV SUPER SPORT 2025;2016;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT 8AT 520CV QV SUPER SPORT 2025;2015;;USD
ALFA ROMEO;GIULIA;4P 2,9 BT 8AT 520CV QV SUPER SPORT 2025;2014;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6;2021;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6;2020;24904;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6;2019;24055;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6;2018;22182;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6;2017;21468;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6;2016;20253;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6;2015;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6;2014;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO;2021;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO;2020;26564;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO;2019;25658;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO;2018;23661;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO;2017;22899;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO;2016;21603;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO;2015;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO;2014;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO TECHNOLOGY;2021;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO TECHNOLOGY;2020;27124;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO TECHNOLOGY;2019;26199;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO TECHNOLOGY;2018;24159;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO TECHNOLOGY;2017;23381;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO TECHNOLOGY;2016;22058;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO TECHNOLOGY;2015;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO TECHNOLOGY;2014;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO NAV;2021;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO NAV;2020;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO NAV;2019;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO NAV;2018;24375;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO NAV;2017;23590;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO NAV;2016;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO NAV;2015;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO NAV;2014;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION;2021;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION;2020;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION;2019;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION;2018;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION;2017;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION;2016;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION;2015;18451;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION;2014;17603;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION;2013;16632;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION;2012;16240;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION CRO MILANO;2021;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION CRO MILANO;2020;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION CRO MILANO;2019;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION CRO MILANO;2018;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION CRO MILANO;2017;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION CRO MILANO;2016;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION CRO MILANO;2015;19596;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION CRO MILANO;2014;18695;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION CRO MILANO;2013;17664;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV PROGRESSION CRO MILANO;2012;17247;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV DISTINCTIVE;2021;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV DISTINCTIVE;2020;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV DISTINCTIVE;2019;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV DISTINCTIVE;2018;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV DISTINCTIVE;2017;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV DISTINCTIVE;2016;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV DISTINCTIVE;2015;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV DISTINCTIVE;2014;17634;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV DISTINCTIVE;2013;16661;USD
ALFA ROMEO;GIULIETTA;5P 1,4 120CV DISTINCTIVE;2012;16269;USD
ALFA ROMEO;GIULIETTA;5P 1,4 170CV DISTINCTIVE;2021;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 170CV DISTINCTIVE;2020;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 170CV DISTINCTIVE;2019;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 170CV DISTINCTIVE;2018;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 170CV DISTINCTIVE;2017;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 170CV DISTINCTIVE;2016;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 170CV DISTINCTIVE;2015;19560;USD
ALFA ROMEO;GIULIETTA;5P 1,4 170CV DISTINCTIVE;2014;18661;USD
ALFA ROMEO;GIULIETTA;5P 1,4 170CV DISTINCTIVE;2013;17632;USD
ALFA ROMEO;GIULIETTA;5P 1,4 170CV DISTINCTIVE;2012;17216;USD
ALFA ROMEO;GIULIETTA;5P 1,4 170CV DISTINCTIVE T/C;2021;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 170CV DISTINCTIVE T/C;2020;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 170CV DISTINCTIVE T/C;2019;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 170CV DISTINCTIVE T/C;2018;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 170CV DISTINCTIVE T/C;2017;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 170CV DISTINCTIVE T/C;2016;;USD
ALFA ROMEO;GIULIETTA;5P 1,4 170CV DISTINCTIVE T/C;2015;20852;USD
ALFA ROMEO;GIULIETTA;5P 1,4 170CV DISTINCTIVE T/C;2014;19894;USD
